name,email_id,recency_days,frequency,monetary,page_views_30d,cart_abandonment_rate,support_tickets_30d,sentiment_score,email_open_rate,discount_dependency,predicted_clv,churned_30d,engagement,rf_ratio,churn_prob,segment
Amit Sharma 0,amitsharma0104@gmail.com,122,19,3793.972738151323,75,0.3624074561769745,7,2.334834444556088,0.4394633936788146,0.1428668179219407,6226.019089589203,0,0.518715053736499,6.1,0.3128901624517512,Low Risk
Arjun Singh 1,arjunsingh1236@gmail.com,277,6,51.51859338997794,58,0.8469926038510867,5,1.0282652208788696,0.2976634677873652,0.0230624250414157,128.7785771207662,1,0.23980103913198444,39.57142857142857,0.7352254648888061,High Risk
Kiran Gupta 2,kirangupta2275@gmail.com,16,34,5648.559873736287,55,0.1599021346475079,3,3.36965827544817,0.8925879806965068,0.0464504127199977,10880.879117014629,0,0.8715919345589009,0.45714285714285713,0.03519491701506187,Low Risk
Arjun Gupta 3,arjungupta3213@gmail.com,4,44,9725.056264596476,53,0.1913841307520112,1,3.736932106048628,0.9041986740582306,0.4401524937396013,26626.642676297542,0,0.865965552134134,0.08888888888888889,0.08201585259024789,Low Risk
Kiran Sharma 4,kiransharma4842@gmail.com,14,36,4070.239852800136,134,0.1935133228268233,5,3.1868411173731186,0.831261142176991,0.184854455525527,13992.801051344944,0,0.8213513561754653,0.3783783783783784,0.10673930701254186,Low Risk
Kiran Sharma 5,kiransharma5618@gmail.com,309,4,1215.904958681616,190,0.6353970008207678,7,4.378135394712606,0.276562270506935,0.7473201101373809,3607.441567629653,1,0.31177856197585385,61.8,0.9249457276461717,Critical
Sneha Paul 6,snehapaul6547@gmail.com,307,9,627.7333361229606,9,0.6062545626964776,7,2.579526072702279,0.0495800817189007,0.2934881747180381,1253.6500183878795,1,0.1872462239527494,30.7,0.7512495758667179,High Risk
Ravi Das 7,ravidas7025@gmail.com,282,1,1231.6219508229722,28,0.8604308102007778,6,4.400154311159197,0.2778902635540047,0.4494506741382034,2989.202674167442,1,0.22256183405209168,141.0,0.973674762691802,Critical
Sneha Das 8,snehadas8883@gmail.com,66,7,3160.840044684772,101,0.5244973703390804,2,4.04314019446759,0.3098887171960257,0.5612771975694962,8643.282304221071,0,0.3761342821819833,8.25,0.42826343485282353,Medium Risk
Arjun Das 9,arjundas9118@gmail.com,44,14,2477.014258395965,52,0.6583054382694077,3,4.6302658957043725,0.2806876809341584,0.2492922291488749,8394.29874539004,0,0.305090433252732,2.933333333333333,0.2952611356173327,Low Risk
Priya Singh 10,priyasingh10390@gmail.com,32,26,4318.011623310144,45,0.378909295702772,8,1.4219770393210824,0.5806106436270022,0.4565345704829102,10973.254425286575,1,0.5968026678950925,1.1851851851851851,0.5467364457303406,Medium Risk
Kiran Singh 11,kiransingh11079@gmail.com,247,7,1797.378034850812,121,0.6440207698110707,8,4.272059063689973,0.0954010424915591,0.8607305832563434,4991.082009806763,1,0.1996323175705072,30.875,0.7510834514778469,High Risk
Rahul Roy 12,rahulroy12694@gmail.com,80,14,2019.2682713163256,96,0.4292811728083021,7,3.812075835580712,0.5771638815650076,0.363629602379294,7887.500620701566,0,0.5745858598156838,5.333333333333333,0.20445329735964782,Low Risk
Priya Verma 13,priyaverma13738@gmail.com,2,22,4407.026478534157,113,0.1110660842063598,1,3.010716092915446,0.6424202471887338,0.0514787512499893,16617.419240312054,0,0.7410257146306964,0.08695652173913043,0.04933918923528508,Low Risk
Kiran Paul 14,kiranpaul14819@gmail.com,2,40,5915.622082220504,68,0.1726165814534501,6,4.04647846131487,0.9928252270553004,0.2376375439923996,14312.598176786378,0,0.9266485036518002,0.04878048780487805,0.03826217324462893,Low Risk
Anjali Roy 15,anjaliroy15860@gmail.com,168,20,4092.55306243048,93,0.5032795106962874,2,3.3635717727529677,0.2602870175861718,0.6775643618422824,11378.249628626,1,0.35486040627318816,8.0,0.4880771232546158,Medium Risk
Kiran Roy 16,kiranroy16882@gmail.com,32,26,3394.931432039932,82,0.2160206038901612,7,1.550083776583973,0.845468869051233,0.3410663510502585,12940.575722311463,1,0.8208730798746753,1.1851851851851851,0.3775845010939194,Low Risk
Arjun Singh 17,arjunsingh17833@gmail.com,218,7,1336.9688897666492,60,0.822080324639785,0,1.9674091636018067,0.2451666600603647,0.0931027678058992,5015.030660178727,0,0.21826786618030483,27.25,0.5059053393943644,Medium Risk
